study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
mcgovern2011_CAPS_B_12_ITT,Psychotherapy,PTSD+SUD,53,B,PTSD+SUD,Not integrated,10,,Individual Addiction Counseling + Standard Care,Addiction Counseling,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,21,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized estimating equations,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 3 to <6 Months,12,,49.75,28.64,,,,,-34.35,,,,,,,,,,,,,,,,,,Not fulfilling criteria for PTSD according to CAPS,0.75,,,,,Community,0,0,1,0.566,,0.434,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, accidents",Medium,"McGovern MP, Lambert-Harris C, Alterman AI, et al. A randomized controlled trial comparing integrated cognitive behavioral therapy versus individual addiction counseling for co-occurring substance use and posttraumatic stress disorders. J Dual Diagn. 2011 Jan 1;7(4):207-27. doi: 10.1080/15504263.2011.620425. PMID: 22383864.",85821,2020
mcgovern2011_CAPS_B_Baseline_ITT,Psychotherapy,PTSD+SUD,53,B,PTSD+SUD,Not integrated,21,,Individual Addiction Counseling + Standard Care,Addiction Counseling,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,21,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized estimating equations,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,84.10,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.566,,0.434,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, accidents",Medium,"McGovern MP, Lambert-Harris C, Alterman AI, et al. A randomized controlled trial comparing integrated cognitive behavioral therapy versus individual addiction counseling for co-occurring substance use and posttraumatic stress disorders. J Dual Diagn. 2011 Jan 1;7(4):207-27. doi: 10.1080/15504263.2011.620425. PMID: 22383864.",85821,2020
mcgovern2015_CAPS_A_0_ITT,Psychotherapy,PTSD+SUD,221,A,PTSD+SUD,Integrated,58,,Integrated CBT + Standard Care,Integrated Cognitive Behavioral Therapy (ICBT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,73,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,46.81,24.81,,,,,-29.9,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcgovern2015_CAPS_A_Baseline_ITT,Psychotherapy,PTSD+SUD,221,A,PTSD+SUD,Integrated,73,,Integrated CBT + Standard Care,Integrated Cognitive Behavioral Therapy (ICBT),Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,73,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,76.71,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcgovern2015_CAPS_B_0_ITT,Psychotherapy,PTSD+SUD,221,B,PTSD+SUD,Not integrated,61,,Individual Addiction Counseling + Standard Care,Addiction Counseling,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,75,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,49.62,25.71,,,,,-29.17,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcgovern2015_CAPS_B_Baseline_ITT,Psychotherapy,PTSD+SUD,221,B,PTSD+SUD,Not integrated,75,,Individual Addiction Counseling + Standard Care,Addiction Counseling,Yes,Non-TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,75,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,78.79,21.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcgovern2015_CAPS_C_0_ITT,Psychotherapy,PTSD+SUD,221,C,Control,Not integrated,53,,Standard Care,Treatment as usual (TAU),No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Control,No,No,Individual,In person,73,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,52.60,26.46,,,,,-23.91,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcgovern2015_CAPS_C_Baseline_ITT,Psychotherapy,PTSD+SUD,221,C,Control,Not integrated,73,,Standard Care,Treatment as usual (TAU),No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Control,No,No,Individual,In person,73,Structured Clinical Interview,CAPS,CAPS,ITT,Generalized linear models,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,76.51,20.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,0,0,1,0.593,,0.407,Mixed,"child sexual abuse, community/school violence, other (not specified)",Medium,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcguirestanbury2020_CAPS_A_0_ITT,Psychotherapy,PTSD,20,A,PTSD,,10,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,22.57,21.68,,,,,-64.14,,,,,Cohen's d,0.64,,,,p<0.05,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_A_12_ITT,Psychotherapy,PTSD,20,A,PTSD,,10,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 3 to <6 Months,12,,21.43,21.17,,,,,-65.28,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_A_26_ITT,Psychotherapy,PTSD,20,A,PTSD,,7,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 6 to <12 Months,26,,38.57,23.88,,,,,-48.14,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_A_Baseline_ITT,Psychotherapy,PTSD,20,A,PTSD,,10,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,86.71,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_B_0_ITT,Psychotherapy,PTSD,20,B,PTSD,,10,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,17.13,16.23,,,,,-60.75,,,,,,,,,,p<0.05,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_B_12_ITT,Psychotherapy,PTSD,20,B,PTSD,,10,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 3 to <6 Months,12,,18.38,13.26,,,,,-59.5,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_B_26_ITT,Psychotherapy,PTSD,20,B,PTSD,,8,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 6 to <12 Months,26,,24.38,11.03,,,,,-53.5,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_CAPS_B_Baseline_ITT,Psychotherapy,PTSD,20,B,PTSD,,10,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Structured Clinical Interview,CAPS,CAPS,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,77.88,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_A_0_ITT,Psychotherapy,PTSD,20,A,PTSD,,,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,34.4,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_A_12_ITT,Psychotherapy,PTSD,20,A,PTSD,,,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 3 to <6 Months,12,,36.1,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_A_26_ITT,Psychotherapy,PTSD,20,A,PTSD,,,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 6 to <12 Months,26,,33.7,15.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_A_Baseline_ITT,Psychotherapy,PTSD,20,A,PTSD,,,,EMDR,Eye Movement Desensitization and Reprocessing (EMDR),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,59,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_B_0_ITT,Psychotherapy,PTSD,20,B,PTSD,,,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,End of Treatment,0,,34.9,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_B_12_ITT,Psychotherapy,PTSD,20,B,PTSD,,,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 3 to <6 Months,12,,35.9,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_B_26_ITT,Psychotherapy,PTSD,20,B,PTSD,,,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Assessment at 6 to <12 Months,26,,28.1,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mcguirestanbury2020_PCL_B_Baseline_ITT,Psychotherapy,PTSD,20,B,PTSD,,,,PE,Prolonged Exposure (PE),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,10,Self report,PCL,PCL-C,ITT,Imputation,Repeated measures ANOVA with post hoc analyses (Tukey) for continuous outcomes; chi-squared for categorical outcomes.,Baseline,,,53.4,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",Medium,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",,2020
mclay2011_CAPS_A_0_NA,Psychotherapy,PTSD,20,A,PTSD,,10,,Virtual reality-graded exposure therapy,Virtual reality exposure therapy (VRET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,10,Structured Clinical Interview,CAPS,CAPS,,,"Two-way ANOVA, chi-squared with Yates correction",End of Treatment,0,,48.1,36.9,,,,,-35.4,24.7,,,,,,,,,,,,,,,,,,,,≥30% reduction in CAPS score,0.7,,Active Duty Military,1,0,0,0.05,,0.95,Combat-related,,High,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375.",36339,2019
mclay2011_CAPS_A_Baseline_NA,Psychotherapy,PTSD,20,A,PTSD,,10,,Virtual reality-graded exposure therapy,Virtual reality exposure therapy (VRET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,10,Structured Clinical Interview,CAPS,CAPS,,,"Two-way ANOVA, chi-squared with Yates correction",Baseline,,,83.5,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0.05,,0.95,Combat-related,,High,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375.",36339,2019
mclay2011_CAPS_B_0_NA,Psychotherapy,PTSD,20,B,Control,,9,,TAU,Treatment as usual (TAU),No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,10,Structured Clinical Interview,CAPS,CAPS,,,"Two-way ANOVA, chi-squared with Yates correction",End of Treatment,0,,72.3,33.8,,,,,-9.4,26.6,,,,,,,,,,,,,,,,,,,,≥30% reduction in CAPS score,0.1111,,Active Duty Military,1,0,0,0.05,,0.95,Combat-related,,High,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375.",36339,2019
mclay2011_CAPS_B_Baseline_NA,Psychotherapy,PTSD,20,B,Control,,10,,TAU,Treatment as usual (TAU),No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,Individual,In Person,10,Structured Clinical Interview,CAPS,CAPS,,,"Two-way ANOVA, chi-squared with Yates correction",Baseline,,,82.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Duty Military,1,0,0,0.05,,0.95,Combat-related,,High,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375.",36339,2019
mclay2017_CAPS_A_0_ITT,Psychotherapy,PTSD,81,A,PTSD,,42,,Virtual reality exposure therapy,Virtual reality exposure therapy (VRET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,43,Structured Clinical Interview,CAPS,CAPS,ITT,Listwise deletion,"Repeated-measures ANOVA, two separate analyses: 1) change from pretreatment to posttreatment, 2) pretreatment, posttreatment, and 3-month followup.",End of Treatment,0,,65.7,28.4,,,,,-9.2,26.7,,,,,,,,,,,,,,,,,,,,≥30% decrease in CAPS score,0.3095,Additional definitions of Clinically Meaningful Response reported in the study,Active Duty Military,1,0,0,0.037,,0.963,Combat-related,,Medium,"McLay RN, Baird A, Webb-Murphy J, et al. A randomized, head-to-head study of virtual reality exposuretherapy for posttraumatic stress disorder. Cyberpsychol Behav Soc Netw. 2017 Apr;20(4):218-24. doi: 10.1089/cyber.2016.0554. PMID: 28394217.",36339,2019
